first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,registration_number,license_valid_from,license_valid_to,specializations,address
,,ADVANCE GROUP LINK MANPOWER SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://advancegroup.workabroad.ph/profile/agency/3533/advancegroup,DMW-501-LB-02242025-R,"Apr 16, 2025","Apr 15, 2031",,
,,ADVANCE STEP INTL MANPOWER SERVICES INC.,,,09266923531,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/5489/advance-step-intl-manpower-services-inc,POEA-090-LB-032316-R,"Jun 27, 2024","Mar 28, 2030",,
,,AERO ALLIED INTERNATIONAL INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/655/aero-allied-international-inc,178-LB-110806-R,"Jan 03, 2025","Oct 09, 2026",,
,,AGE INTERNATIONAL GULF EMPLOYMENT CO,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://age.workabroad.ph/profile/agency/7323/age,POEA-070-LB-102121-R,"Dec 14, 2021","Dec 13, 2031",,
,,"AJM PLACEMENT & RECRUITMENT AGENCY, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/4794/ajm-placement-recruitment-agency-inc,POEA-033-LB-061522-R,"May 31, 2022","May 30, 2026",,
,,AL ASSAL MANPOWER INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://alassal.workabroad.ph/profile/agency/353/alassal,POEA-133-LB-100522-R,"Oct 17, 2022","Oct 17, 2026",,
,,"AL AWA`EL INTERNATIONAL MANPOWER, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://alawael.workabroad.ph/profile/agency/1150/alawael,POEA-190-LB-120622-R,"Oct 15, 2022","Oct 14, 2026",,
,,AL AXA INT'L MANPOWER SERVICES INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7188/al-axa-intl-manpower-services-inc,DMW-120-LB-06222023-R,"Jun 22, 2023","Jun 21, 2027",,
,,AL JAZIRA MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://aljazira.workabroad.ph/profile/agency/3868/aljazira,POEA-047-LB-062614-R,"Apr 08, 2023","Jun 16, 2026",,
,,AL MANAF INTERNATIONAL MANPOWER CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://almanaf.workabroad.ph/profile/agency/2877/almanaf,DMW-454-LB-10022024-R,"Oct 30, 2020","Oct 29, 2030",,
,,"AL-KHALEEJ INTERNATIONAL SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/1123/al-khaleej-international-services-inc,POEA-275-LB-121718-R,"Oct 21, 2022","Oct 20, 2026",,
,,AL-KINGSMEN INTERNATIONAL MANPOWER SERVICES CO.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://alkingsmen.workabroad.ph/profile/agency/7776/alkingsmen,DMW-021-LB-10132023-UL,"Dec 22, 2025","Apr 14, 2026",,
,,"ALHABESHI INTERNATIONAL SERVICES, INC",,,,https://www.al-habeshi.com,al-habeshi.com,Manila,,PH,Recruitment Agency,ph-workabroad,https://alhabeshi.workabroad.ph/profile/agency/969/alhabeshi,POEA-120-LB-061918-R,"Dec 12, 2022","Aug 02, 2026",,
,,ALPHA MANPOWERLINK AGENCY CO,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://alphamanpowerlink.workabroad.ph/profile/agency/7346/alphamanpowerlink,POEA-200-LB-121322-R,"Jan 08, 2022","Jan 07, 2032",,
,,ALPHA TOMO (P) INTL MANPOWER SERVICES INC. (FORMERLY: R.A. TOMO INTERNATIONAL MANPOWER SERVICES),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/1974/alpha-tomo-p-intl-manpower-services-inc-formerly-ra-tomo-international-manpower-services,DMW-106-LB-06202023-R,"Jul 12, 2023","Jul 11, 2027",,
,,AMCAAJ INTERNATIONAL RECRUITMENT AGENCY,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://amcaaj.workabroad.ph/profile/agency/3568/amcaaj,POEA-119-LB-082310-R,"Jan 06, 2023","Aug 15, 2026",,
,,AMEINRI OVERSEAS EMPLOYMENT AGENCY INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://ameinri.workabroad.ph/profile/agency/693/ameinri,DMW-393-LB-07082024-R,"Jul 01, 2024","Jun 30, 2030",,
,,AMERICAN PRIME MANPOWER SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://americanprime.workabroad.ph/profile/agency/1500/americanprime,POEA-178-LB-101215-R,"Jan 12, 2024","Oct 15, 2029",,
,,AMI GLOBAL RECRUITMENT,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://amiglobal.workabroad.ph/profile/agency/6167/amiglobal,POEA-023-LB-032417-PLe,"Sep 07, 2023","Oct 07, 2029",,
,,"ANDREWS MANPOWER CONSULTING, INC.",,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://andrews.workabroad.ph/profile/agency/715/andrews,POEA-072-LB-072922-R,"Aug 10, 2022","Oct 19, 2025",,"the heart of the most prestigious, strategic and accessible business district in Ortigas Center, Pasig City --walking distance at our DMW government office and located next to the trendy Super Malls with ample five star hotel accommodations ( e"
,,"AQUAVIR INTERNATIONAL, INC.",,,,,,Makati,,PH,Recruitment Agency,ph-workabroad,https://aquavir.workabroad.ph/profile/agency/707/aquavir,POEA-002-LB-010720-R,"Apr 17, 2024","Apr 01, 2030",,
,,ARAM ENTERPRISES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://aram.workabroad.ph/profile/agency/446/aram,DMW-180-LB-09272023-R,"Oct 13, 2023","Oct 06, 2029",,
,,"ARCHWAY INTERNATIONAL & MARKETING SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://archway.workabroad.ph/profile/agency/2509/archway,POEA-045-LB-110613-R,"Feb 16, 2022","Oct 13, 2031",,
,,ARDCORP - MAIN,,,,https://www.ardcorpphils.com/,ardcorpphils.com,,,PH,Recruitment Agency,ph-workabroad,https://ardcorpmanila.workabroad.ph/profile/agency/7431/ardcorpmanila,POEA-055-LB-031020-R,"Apr 30, 2024","Apr 20, 2030",,
,,ARMSTRONG RESOURCES CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://armstrong.workabroad.ph/profile/agency/661/armstrong,POEA-199-LB-121322-R,"Jan 21, 2023","Jan 20, 2027",,
,,"AROUND THE WORLD MANPOWER SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://aroundtheworld.workabroad.ph/profile/agency/360/aroundtheworld,POEA-209-LB-071812-R,"Jul 30, 2024","Jul 29, 2030",,
,,ASCEND INTERNATIONAL SERVICES INC,,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://ascend.workabroad.ph/profile/agency/2372/ascend,DMW-196-LB-11072023-R,"Nov 24, 2023","Jan 22, 2030",,
,,"ASIA REACH INTERNATIONAL MANAGEMENT & CONTRACTOR SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://asiareach.workabroad.ph/profile/agency/2511/asiareach,POEA-095-LB-083022-R,"Aug 26, 2022","Aug 26, 2026",,
,,"ASIA SYSTEM, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://asiasystem.workabroad.ph/profile/agency/3696/asiasystem,POEA-204-LB-112614-R,"Jan 11, 2023","Dec 14, 2026",,
,,"ASMACS RECRUITMENT SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://asmacs.workabroad.ph/profile/agency/4957/asmacs,DMW-003-LB-03072023-R,"Jan 19, 2023","Feb 14, 2027",,
,,ASMK INT'L. HUMAN SOLUTIONS CO.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://asmkintl.workabroad.ph/profile/agency/7393/asmkintl,POEA-016-LB-052518-PL,"Jul 14, 2022","May 24, 2026",,
,,"AUGUSTIN INTERNATIONAL CENTER, INC.",,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://augustin.workabroad.ph/profile/agency/37/augustin,POEA-034-LB-061522-R,"Jul 08, 2022","Jun 19, 2026",,
,,AUREOLA SUN MANPOWER SERVICES CORP,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8159/aureola-sun-manpower-services-corp,DMW-012-LB-01192024-PL,"Jan 19, 2024","Jan 18, 2027",,
,,AUREUS MANPOWER AND CONSULTANCY CORP,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://aureus.workabroad.ph/profile/agency/3681/aureus,POEA-072-LB-102821,,,,
,,AWRI-ALL-WORLD RECRUITMENT INC (FORMERLY WHITE BIRD BUSINESS MANAGEMENT),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://awri.workabroad.ph/profile/agency/1607/awri,DMW-070-LB-04122023-R,"Apr 24, 2023","Sep 03, 2026",,
,,BENCHSTONE ENTERPRISE INCORPORATED,,,,https://www.facebook.com/beimanpower,facebook.com,Manila,,PH,Recruitment Agency,ph-workabroad,https://benchstone.workabroad.ph/profile/agency/2140/benchstone,POEA-043-LB-030420-R,"Mar 10, 2020","Mar 07, 2030",,
,,BENISCE INTERNATIONAL MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/5845/benisce-international-manpower-services,DMW-447-LB-09182024-R,"Nov 28, 2024","Nov 27, 2030",,
,,BERACAH HUMAN RESOURCE CONSULTANCY,,,,,,Quezon City,,PH,Recruitment Agency,ph-workabroad,https://beracah.workabroad.ph/profile/agency/5339/beracah,POEA-098-LB-050818-R,"Oct 21, 2022","Jun 23, 2026",,
,,BEST GROUP MARKETING AGENCY INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://bestgroup.workabroad.ph/profile/agency/6143/bestgroup,POEA-016-LB-080515-UL,"Oct 06, 2021","Apr 03, 2026",,
,,BEST MIGRANT WORKERS INTL MANPOWER SERVICES (BMWIMS) INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://bestmigrant.workabroad.ph/profile/agency/224/bestmigrant,POEA-195-LB-121222-R,"Dec 24, 2022","Dec 23, 2026",,
,,BISON MANAGEMENT CORPORATION,,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://bison.workabroad.ph/profile/agency/985/bison,POEA-157-LB-102822-R,"Dec 20, 2022","Dec 19, 2026",,
,,BLAZING STAR INTERNATIONAL MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://blazingstar.workabroad.ph/profile/agency/2562/blazingstar,POEA-066-LB-042919-R,"Jul 11, 2023","Jul 10, 2027",,
,,BM SKYWAY GENERAL SERVICES & TRADING,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/1741/bm-skyway-general-services-trading,POEA-080-LB-081222-R,"Aug 25, 2022","Oct 15, 2026",,
,,BMS GROUP INTERNATIONAL MANPOWER RECRUITMENT SERVICES CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://bmsmain.workabroad.ph/profile/agency/7064/bmsmain,POEA-039-LB-042721-R,"Feb 28, 2021","Feb 27, 2025",,
,,BOBSTAR INTERNATIONAL RECRUITMENT AGENCY,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://bobstarintl.workabroad.ph/profile/agency/6176/bobstarintl,DMW-602-LB-06182025-R,"Dec 20, 2024","Apr 29, 2025",,
,,"BS INTL. SERVICES AND PLACEMENT AGENCY, INC.",,,(632)5599081,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://bsintl.workabroad.ph/profile/agency/3532/bsintl,DMW-289-LB-02282024-R,"Jan 12, 2024","Jan 11, 2030",,
,,BUILDING BETTER LIVES MANPOWER SERVICES INTERNATIONAL INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://bblmanpower.workabroad.ph/profile/agency/4428/bblmanpower,POEA-096- LB-050718-R,"Jul 04, 2022","Jun 07, 2026",,
,,BUKWANG PRIME INTERNATIONAL AGENCY INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/5274/bukwang-prime-international-agency-inc,DMW-219-LB-11242023-R,"Jul 13, 2023","Jul 12, 2029",,
,,BUSINESSWISE INTERNATIONAL RESOURCES INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://businesswiseintl.workabroad.ph/profile/agency/7173/businesswiseintl,DMW-425-LB-08202024-R,,,,
,,C.A.N.A. PLACEMENT SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://canaplacement.workabroad.ph/profile/agency/960/canaplacement,POEA-010-LB-011411-R,"Dec 12, 2022","Jan 28, 2027",,
,,CAL INTERNATIONAL RECRUITMENT OPC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8122/cal-international-recruitment-opc,DMW-045-LB-11192025-UL,"Nov 19, 2025","Oct 11, 2029",,
,,CAMOX PHILIPPINES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://camox.workabroad.ph/profile/agency/3659/camox,POEA-088-LB-052915-R,"Aug 23, 2023","Jun 05, 2027",,
,,CARE INTERNATIONAL PLACEMENT CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://careinternational.workabroad.ph/profile/agency/4237/careinternational,POEA-158-LB-092010-R,"Jul 11, 2022","Sep 05, 2026",,
,,CAVES TREASURES MANPOWER & CONSTRUCTION CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://cavestreasures.workabroad.ph/profile/agency/1395/cavestreasures,POEA-160-LB-081318-R,"Oct 03, 2022","Aug 09, 2026",,
,,CB & T PRO-STAFF INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://cbtprostaffinc.workabroad.ph/profile/agency/5909/cbtprostaffinc,POEA-035-LB-101016-Ple,"Apr 12, 2023","Oct 01, 2026",,
,,CELESTIAL INTERNATIONAL MANPOWER SERVICES CORPORATION (NEW),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/6488/celestial-international-manpower-services-corporation-new,DMW-206-LB-11142023-R,"Aug 11, 2023","Aug 10, 2029",,
,,CENTRO PROJECT MANPOWER SERVICES CORP (NEW),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://centroproject.workabroad.ph/profile/agency/6490/centroproject,DMW-325-LB-0405-2024-R,"Mar 08, 2024","Mar 07, 2030",,
,,CHANNEL INTERNATIONAL PLACEMENT SERVICES CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/2862/channel-international-placement-services-corp,DMW-265-LB-02122024-R,"Aug 17, 2023","Aug 16, 2029",,
,,CHARTREUSE PRIME RECRUITMENT SPECIALIST,,,,,,Taguig,,PH,Recruitment Agency,ph-workabroad,https://chartreuse.workabroad.ph/profile/agency/3647/chartreuse,POEA-156-LB-102822-R,"Nov 10, 2022","Dec 06, 2026",,
,,CHEN-MA INTERNATIONAL MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7094/chen-ma-international-manpower-services,DMW-610-LB-05082025-R,"Jul 22, 2021","Jul 21, 2031",,
,,CHESHAM RECRUITMENT INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://chesham.workabroad.ph/profile/agency/541/chesham,DMW-411-LB-08132024-R,"Jul 24, 2024","Jul 23, 2030",,
,,CHESNA MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://chesna.workabroad.ph/profile/agency/3930/chesna,POEA-194-LB-102715-R,"Nov 17, 2023","Nov 26, 2029",,
,,CIERTO AGENCIA PROFESIONALE INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://cierto.workabroad.ph/profile/agency/7071/cierto,POEA-023-LB-052517-PL,"May 31, 2021","May 30, 2025",,
,,CINDERELLA INTERNATIONAL MANPOWER SERVICES CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/6385/cinderella-international-manpower-services-corp,DMW-230-LB-12182023-R,"Dec 14, 2023","Dec 13, 2029",,
,,CIRRUS GLOBAL INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://cirrusglobal.workabroad.ph/profile/agency/6006/cirrusglobal,POEA-166-LB-091219-R,"Feb 05, 2024","Sep 15, 2029",,
,,COBIL RECRUITMENT & SERVICES CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://cobil.workabroad.ph/profile/agency/1519/cobil,POEA-164-LB-091019-R,"Feb 27, 2024","Sep 25, 2029",,
,,COMPLEX INTERNATIONAL RECRUITMENT PHILIPPINES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8160/complex-international-recruitment-philippines-inc,DMW-024-LB-09232024-PL,"Sep 23, 2024","Sep 24, 2027",,
,,CONCORDE INTERNATIONAL HUMAN RESOURCE CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://concorde.workabroad.ph/profile/agency/390/concorde,DMW-287-LB-02272024-R,"Apr 20, 2024","Apr 19, 2030",,
,,COUNTRYBEST INTERNATIONAL PLACEMENT CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/942/countrybest-international-placement-corporation,POEA-073-LB-030918-R,"May 10, 2022","May 09, 2026",,
,,DELTAVIR OVERSEAS JOB PLACEMENT AND GENERAL SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://deltavir.workabroad.ph/profile/agency/4479/deltavir,DMW-351-LB-05152024-R,"Mar 25, 2024","Mar 24, 2030",,
,,DESERTWEALTH INTERNATIONAL SERVICES CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://desertwealth.workabroad.ph/profile/agency/3452/desertwealth,POEA-158-LB-091019-R,"Nov 09, 2023","Oct 25, 2029",,
,,DIAMOND OVERSEAS MANPOWER ENTERPRISES (DOME),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://diamondoverseas.workabroad.ph/profile/agency/233/diamondoverseas,POEA-135-LB-071811-R,"Jul 22, 2023","Jul 10, 2027",,
,,DIMENSION-ALL MANPOWER INC (FOR. SUPERSONIC MANPOWER SERVICES CORPORATION),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://dimensionall.workabroad.ph/profile/agency/2191/dimensionall,DMW-001-LB-03072023-R,"Dec 29, 2022","Mar 28, 2026",,
,,DLB INTERNATIONAL INC,,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://dlbinternational.workabroad.ph/profile/agency/6460/dlbinternational,DMW-260-LB-02142024-R,"Mar 28, 2024","Mar 27, 2030",,"a commercial district in the heart of MANILA, and we are accessible to public conveyances, hotels, restaurants and amenities suitable for visiting principals and representatives"
,,DOHA INTERNATIONAL MANPOWER SERVICES CO.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://dohaenergy.workabroad.ph/profile/agency/5355/dohaenergy,POEA-115-LB-070715-R,"Jul 05, 2023","Jul 04, 2027",,
,,DOMINION OVERSEAS MGT. EURO-ASIA CORP. (DOMEC),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://dominion.workabroad.ph/profile/agency/3783/dominion,POEA-106-LB-070419-R,"Nov 30, 2023","May 30, 2027",,
,,DREAM FORCE INTERNATIONAL MANPOWER SERVICES (FORMERLY: LYKA INTERNATIONAL MANPOWER SERVICES),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://dreamforce.workabroad.ph/profile/agency/2763/dreamforce,POEA-016-LB-012816-R,"Feb 28, 2020","Mar 31, 2030",,
,,E-GMP INTERNATIONAL CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://egmpintl.workabroad.ph/profile/agency/4528/egmpintl,DMW-232-LB-12212023-R,"Jan 08, 2024","Sep 23, 2029",,
,,EARTHSMART HUMAN RESOURCE PHILIPPINES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7040/earthsmart-human-resource-philippines-inc,DMW-643-LB-09052025-R,"Feb 18, 2025","Feb 27, 2031",,
,,"EAST WEST PLACEMENT CENTER, INC",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://eastwest.workabroad.ph/profile/agency/2394/eastwest,POEA-198-LB-121322-R,"Jan 03, 2023","Jan 02, 2027",,
,,EASTERN POINT INTL MANPOWER CO,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://easternpoint.workabroad.ph/profile/agency/7405/easternpoint,POEA-205-LB-121622-R,"Aug 06, 2022","Aug 05, 2026",,
,,EDI STAFFBUILDERS INTERNATIONAL INC (EDI),,,,https://www.edistaffbuilders.com,edistaffbuilders.com,,,PH,Recruitment Agency,ph-workabroad,https://edistaffbuilders.workabroad.ph/profile/agency/282/edistaffbuilders,POEA-040-LB-061914-PA,"Jun 21, 2014","Jun 20, 2026",,
,,EDMC OVERSEAS MANPOWER RECRUITMENT AGENCY CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8142/edmc-overseas-manpower-recruitment-agency-corporation,DMW-018-LB-05172024-PL,"Jul 17, 2024","May 16, 2027",,
,,ELEVO MANPOWER SERVICES CORP,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://elevo.workabroad.ph/profile/agency/7232/elevo,POEA-039-LB-100317-PL,"Sep 09, 2022","Sep 28, 2025",,
,,EMS SERVICES INTERNATIONAL INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://emsservices.workabroad.ph/profile/agency/7446/emsservices,DMW-403-LB-08072024-R,"Dec 17, 2022","Dec 16, 2026",,
,,ERRX RECRUITMENT CONSULTING,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://errxrecruitment.workabroad.ph/profile/agency/6399/errxrecruitment,POEA-196-LB-121222-R,"Aug 15, 2022","Aug 14, 2026",,
,,EURASIAMQUEST INC. (NEW),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://eurasiamquest.workabroad.ph/profile/agency/6495/eurasiamquest,POEA-207-LB-092016-R,,,,
,,EUROASIA PHILIPPINES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://euroasia.workabroad.ph/profile/agency/1569/euroasia,POEA-136-LB-042816-R,"Apr 12, 2022","May 17, 2030",,
,,EVERLAST INTERNATIONAL PLACEMENTS INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://everlast.workabroad.ph/profile/agency/6094/everlast,POEA-148-LB-090120-R,"Sep 11, 2020","May 27, 2029",,
