first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,address,fax,principal_agent,qeac_numbers,counselor_count
,,The International Union of Youth,,,,,,U Sluncové 12a/666,Prague,Czech Republic,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8260,"U Sluncové 12a/666, Prague, 186 00, Czech Republic",,,,
,,Anglo Education & English Language Services,,,,,,Hastings,East Sussex,United Kingdom,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/4583,"43 Birch Way, Hastings, East Sussex, TN34 2JZ, United Kingdom",,,,
,,Glory Educational Services Ltd,,,,,,Ikeja,Lagos,Nigeria,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/5159,"3rd Floor Centage Plaza, 14 Allen Avenue, Ikeja, Lagos, Lagos, Nigeria",,,,
,,East & West Enterprise Australia Pty Ltd,,,,,,Parramatta,New South Wales,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/5237,"P.O. Box 451, Parramatta, New South Wales, 2124, Australia",,,,
,,Kent Educational,,,,,,S Anto Tome,Santa Fe,Argentina,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/5514,"Avenida Mitre 3262, S Anto Tome, Santa Fe, 3010, Argentina",,,,
,,"Born To Consult Co., Ltd.",,,,,,Bangkok,Krung Thep,Thailand,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/5522,"118/8, 9 Mulberry Place Phetkasem Road, Bangwha, Phaseecharoen, Bangkok, Krung Thep, 10160, Thailand",,,,
,,Globus Consulting Group Pvt Ltd,,,,,,Chandigarh,U.T.,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/5835,"Sector 20 C, Chandigarh, Chandigarh, U.T., 160020, India",,,,
,,Edugroup Ltd,,,,,,Unit 4 Holles House Overton R Oad,London,United Kingdom,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/5885,"Unit 4 Holles House Overton R Oad, London, SW9 7JN, United Kingdom",,,,
,,Hansel Education Limited,,,,,,Surulere,Lagos,Nigeria,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/6214,"85 Ogunlana Drive, Surulere, Lagos, 234, Nigeria",,,,
,,China Educational Development And Consulting Associates (Cedca),,,,,,Taipei,T'ai-pei,Taiwan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/6323,"36 Nanyang St, Taipei, T'ai-pei, 100, Taiwan",,,,
,,EFU (Education Future Ukraine),,,,,,ap.42 15/5 Institutskaya Street,Kiev,Ukraine,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/3341,"ap.42 15/5 Institutskaya Street, Kiev, 01021, Ukraine",,,,
,,ICEA Agency,,,,,,Cherkasy,Cherkas'ka Oblast',Ukraine,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/3847,"424 Shevchenko Str., Cherkasy, Cherkas'ka Oblast', 18000, Ukraine",,,,
,,Sakun Educational Consultants Pvt Ltd,,,,,,Pusa Road,New Delhi,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/3852,"208, 2nd Floor 4 B, Pusa Road, New Delhi, 110005, India",,,,
,,International Student Services Canada,,,,,,Toronto,ON,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/3879,"283 Christie St, Toronto, ON, M6G 3B9, Canada",,,,
,,World International Education Agency,,,,,,Ataturk Bulvari 141/118 Bulvarpalas C Blok Bakanliklar,,Turkey,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/4163,"Ataturk Bulvari 141/118 Bulvarpalas C Blok Bakanliklar, Ankara, , Turkey",,,,
,,Chinmay Education Consultancy,,,,,,Tilak Road,Pune,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/4294,"1696, Kolhapure Business Point Sadashiv Peth, Tilak Road, Pune, 411 051, India",,,,
,,John Holland Group,,,,,,Brisbane,QLD,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/4308,"225 Progress Road, Richlands, Brisbane, QLD, 4077, Australia",,,,
,,Edugroup Ltd,,,,,,Calle 98# 15 17 Oficina 505,,Colombia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/6529,"Calle 98# 15 17 Oficina 505, Bogota, , Colombia",,,,
,,Mp Education,,,,,,St.Petersburg,North-West,Russia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/6766,"408 Office, 111 Grazhdanskiy Pr., St.Petersburg, North-West, 195265, Russia",,,,
,,Me Voy Turismo,,,,,,Sao Paulo,SP,Brazil,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/6775,"Itapicuru, 369 Conj. 401, Sao Paulo, SP, 05006000, Brazil",,,,
,,Jubilee Education Service,,,,,,Surabaya,Jawa Timur,Indonesia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/6823,"Klampis Jaya 154-A, Sukolilo, Surabaya, Jawa Timur, 60117, Indonesia",,,,
,,Cosmopolitan Student,,,,,,Aachen,NRW,Germany,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/6831,"Melatenerstr. 81a, Aachen, NRW, 52074, Germany",,,,
,,iAE China,,,,,,122 Tiyudonglu,,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/7058,"122 Tiyudonglu, Guangzhou, , China",,,,
,,Success Route,,,,,,Delhi,Delhi,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/7074,"F 76, Saidulajab, Near Saket Metro Station, New Delhi, Delhi, Delhi, 110030, India",,,,
,,Hamidi Law Office,,,,,,Tehran,Tehran,Iran,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/7116,"Unit104, No34, West Sarv, Saadat Abad, Tehran, Tehran, 19989, Iran",,,,
,,Parlito,,,,,,Dublin,Dublin,Ireland,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/7118,"Shangan Hall, 15 Shangan Road, Dublin, Dublin, Dublin 9, Ireland",,,,
,,Izh Baltika Plus,,,,,,Izhevsk,Udmurt,Russia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/7322,"114 Pushkinskaya Str, Izhevsk, Udmurt, 426077, Russia",,,,
,,Kazakh British Study Centre M&K,,,,,,Almaty,Almaty,Kazakhstan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/7370,"40/1 Baiseitova Str., 050013 Almaty, Kazakhstan, Almaty, Almaty, 050000, Kazakhstan",,,,
,,Babel Studies,,,,,,San Pio,Bucaramanga,Colombia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/1866,"Cr. 36 # 46 - 32, San Pio, Bucaramanga, Santander, Colombia",,,,
,,Kyoiku Bunka Network Japan Ltd,,,,,,Narita Shi,Chiba,Japan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/2087,"839 Hanasaki-cho, Narita Shi, Chiba, 286-0033, Japan",,,,
,,Domar Travel Education (Dte),,,,,,of.1,Kyiv,Ukraine,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/2088,"улица Волошская, 24 Voloska str, of.1, Kyiv, 04070, Ukraine",,,,
,,INTESOL Russia (FREEWAY Management LTD),,,,,,Moscow,Moscow City,Russia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/3021,"Zubovskiy Blvd Build. 13/1, Moscow, Moscow City, 119021, Russia",,,,
,,World Connect Management Consultancy Llc,,,,,,Sharjah,United Arab Emirates,United Arab Emirates,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/1403,", Sharjah, United Arab Emirates, 23995, United Arab Emirates",,,,
,,Global Tour Education Centre,,,,,,8,Dnepropetrovsk,Ukraine,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8449,"Zhukovsky Str., 8, Dnepropetrovsk, 49005, Ukraine",,,,
,,JC Educational Consultancy,,,,,,Swansea,West Glamorgan,United Kingdom,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8460,"16a Glen Road, West Cross, Swansea, West Glamorgan, SA3 5PR, United Kingdom",,,,
,,F&S International Education China Operations,,,,,,Dalian,Liaoning,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8483,"1405 Shengshi Mansions, 35 Luxun Road, Zhongshan District, Dalian, Liaoning, 116001, China",,,,
,,Jamboree Education Middle East FZ LLC,,,,,,Block 14,Dubai,United Arab Emirates,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8499,"Office No G03, Block 14, Dubai, Dubai, United Arab Emirates",,,,
,,Accelerated Learning Systems Limited,,,,,,15 Opebi Oregun Link Road,,Nigeria,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8500,"15 Opebi Oregun Link Road, Ikeja, , Nigeria",,,,
,,Abroad Study Down Under Margit Noack,,,,,,Emmendingen,Baden-Wurttemberg,Germany,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8544,"4 Carl-Orff-Weg, Emmendingen, Baden-Wurttemberg, 79312, Germany",,,,
,,The Newman School,,,,,,Boston,MA,United States of America,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8597,"247 Marlborough Street, Boston, MA, 02116, United States of America",,,,
,,Viet-SSE education service JSC,,,,,,Hanoi,Ha Noi,Vietnam,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8606,"1/19 Lieu Giai St., Ba Dinh Dis., Hanoi, Ha Noi, 84, Vietnam",,,,
,,OPNOVA Kft - Nova Experience,,,,,,Budapest,Budapest,Hungary,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8613,"1133 Budapest Gogol u. 5., Budapest, Budapest, 1133, Hungary",,,,
,,VancoWest Enterprises Inc.,,,,,,Tehran,Tehran,Iran,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8756,"Suite#17, No. 64, Ebn E Sina Trading Center, Naseri Alley, Vali E Nasr Avenue, Tehran, Tehran, 1968615113, Iran",,,,
,,OPTIMA STUDY Ltd,,,,,,Ul. Chasovaya,Samara,Russia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8757,"6, Ul. Chasovaya, Samara, 443086, Russia",,,,
,,StartPoint Canada,,,,,,Toronto,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8865,"2102-99 Harbour Square, Toronto, Ontario, M5J 2H2, Canada",,,,
,,Golden Key Education Development JSC,,,,,,Hanoi,Hanoi,Vietnam,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8918,"4th Floor, 14 Tran Hung Dao Str, Hoan Kiem District, Hanoi, Hanoi, 1000, Vietnam",,,,
,,Center of Students Initiatives,,,,,,Izhevsk,Udmurtia,Russia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/9156,"61 Krasnogeroyskaya Street, Izhevsk, Udmurtia, 426034, Russia",,,,
,,Gulfstream,,,,,,Kharkiv,Kharkiv,Ukraine,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/9190,"Pl. Konstytuzii 1, Dvorez Truda 6 Pod., 3 Et., Kharkiv, Kharkiv, 61003, Ukraine",,,,
,,Angad Immigration & Edu Services,,,,,,Doraha,PB,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/9211,"Near Main Bus Stand, National Highway 1 Backside Hotel Zenith, Doraha, PB, 141421, India",,,,
,,International House DNK,,,,,,Dnepropetrovsk,Dnipropetrovs'ka Oblast',Ukraine,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/9214,"2 Serova Str, Dnepropetrovsk, Dnipropetrovs'ka Oblast', 49000, Ukraine",,,,
,,Deepak Mehra,,,,,,Brampton,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/9241,"54 Covebank Crescent, Brampton, Ontario, l6P 2Y1, Canada",,,,
,,Olga Lyashenko,,,,,,Oakville,ON,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/9354,"96 Nelson St., #17, Oakville, ON, L6L 3H8, Canada",,,,
,,Eskard Consulting,,,,,,Harare,Harare,Zimbabwe,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/9401,"Suite 4 First Floor CBZ Corner Newlands, Newlands, Harare, Harare, 263, Zimbabwe",,,,
,,Enter Corporation,,,,,,Barranquilla,Atlantico,Colombia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/11522,"# 74 92 Cra. 49, Barranquilla, Atlantico, 080020, Colombia",,,,
,,Go Global Way,,,,,,Pucang Anom Timur 6 B,Surabaya,Indonesia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/11718,"Pucang Anom Timur 6 B, Surabaya, Jawa Timur, Indonesia",,,,
,,ISET GLOBAL,,,,,,Amman,Amman,Jordan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/11742,"Mecca Street, Toshiba Bldg, # 219, Amman, Amman, 11118, Jordan",,,,
,,ELIS Educational Services / OWOLAB Group Inc,,,,,,Toronto,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/11959,"Suite 200, 5700 Yonge Street, Toronto, Ontario, M2M 4K2, Canada",,,,
,,Linguistic Academy,,,,,,Togliatty,Samara region,Russia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/12057,"25, Ofitsetskaya Street, Togliatty, Samara region, 445044, Russia",,,,
,,Acharya Education Services Pvt Ltd. (AESPL),,,,,,India,Bengaluru,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/12214,"Achith Nagar, Bangalore, Karnataka, India, Bengaluru, Karnataka, India",,,,
,,Rosario Tours,,,,,,193 Calle Arenales,Montero,Bolivia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/12245,"193 Calle Arenales, Montero, Santa Cruz, Bolivia",,,,
,,METBARCELONA,,,,,,Barcelona,Catalonia,Spain,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/12251,"267 Carrer de Muntaner, Barcelona, Catalonia, 08021, Spain",,,,
,,CEI El Jarama,,,,,,Madrid,Islas Baleares,Spain,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/12254,"Km 2, 2 28160 Talamanca de Jarama, Sector de Caraquiz, Torrelaguna, Spanien Sector de Caraquiz, Torrelaguna, Madrid, Islas Baleares, 28180, Spain",,,,
,,"YouStudyIn, Institute for University Placement",,,,,,Falkenhagener Str 1,Berlin,Germany,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/12296,"Falkenhagener Str 1, , Berlin, 13585, Germany",,,,
,,StudyGroupGermany EU,,,,,,Großkarlbach,Baden-Wurttemberg,Germany,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/12313,"12 Silvanerstraße, Großkarlbach, Großkarlbach, Baden-Wurttemberg, 67229, Germany",,,,
,,Big Ben,,,,,,Tula,Tula,Russia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/12322,"17 Revolutcii St., Tula, Tula, 300041, Russia",,,,
,,Academy of Corporate Education,,,,,,Moscow,.,Russia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10466,"18 Tverskaya Street, Office 807, Moscow, ., 127994, Russia",,,,
,,Academical Travel,,,,,,Simferopol,Crimea,Ukraine,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10481,"Uchilishnaya 22, Simferopol, Crimea, 95001, Ukraine",,,,
,,Tajseer Agency Ltd,,,,,,Vancouver,British Columbia,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10512,"250 515 Pender St W, Vancouver, British Columbia, V6B1V5, Canada",,,,
,,Advised Studies Sprachreisen GmbH,,,,,,Dortmund,NRW,Germany,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10543,"Main Office, Dortmund, NRW, 44141, Germany",,,,
,,Lost In Immersion,,,,,,Paris,Idf,France,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10571,"19/21 Quai De L'oise, Paris, Idf, 75019, France",,,,
,,ABC Travel,,,,,,Amangeldy Street,Almaty,Kazakhstan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10597,"Business Center Shartas, 6th Floor, 59a, Amangeldy Street, Almaty, 050012, Kazakhstan",,,,
,,Yuki Matsuyama,,,,,,Tokyo,,Japan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10626,"Tokyo, , , Japan",,,,
,,ITEC,,,,,,Kazan,Republic of Tatarstan,Russia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10786,"Ostrovskiy Street 79, Office 310, Kazan, Republic of Tatarstan, 420107, Russia",,,,
,,Tally Solutions Canada,,,,,,Calgary,Alberta,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/11039,"695 Martindale Blvd NE, Calgary, Alberta, T3J3W3, Canada",,,,
,,Windrose International Sarl,,,,,,Neuchâtel,Neuchatel,Switzerland,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/11157,"Avenue De La Gare, 2, Neuchâtel, Neuchatel, 2000, Switzerland",,,,
,,Futures Abroad,,,,,,Toronto,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/11164,"12 Hilldowntree Road, Toronto, Ontario, M9A2Z5, Canada",,,,
,,AUS Education Consultant,,,,,,Birmingham,.,United Kingdom,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/11224,"249 Ladypool Road, Southside Business Centre, Office No. 44, Birmingham, ., B12 8LF, United Kingdom",,,,
,,Education Consultants Group,,,,,,Almaty,Almaty,Kazakhstan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/9470,"208 Navoi Street, 404, Almaty, Almaty, 050042, Kazakhstan",,,,
,,International Student Recruitment Centre,,,,,,Toronto,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/9552,"3500 2 Bloor St, EastToronto, Toronto, Ontario, M4W 1A8, Canada",,,,
,,Daher Turismo,,,,,,Recife,Pernambuco,Brazil,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/9803,"896, Loja 102 Av. Rui Barbosa, Graças, Recife, Pernambuco, 52011-040, Brazil",,,,
,,ABCS International,,,,,,New Delhi,Delhi,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/9882,"B 1/107, I Ind Floor, Janak Puri, New Delhi, Delhi, 110058, India",,,,
,,LTA d.o.o.,,,,,,Slovenska Bistrica,Slovenia,Slovenia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10039,"Trg Svobode 26, Slovenska Bistrica, Slovenia, 2310, Slovenia",,,,
,,LEARNING VISION LTD,,,,,,Portsmouth,Hampshire,United Kingdom,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10109,"Victory Business Centre Unit 114 Victory House Somers Road North, Portsmouth, Hampshire, PO1 1PJ, United Kingdom",,,,
,,Vision for Education Ltd,,,,,,Sofia,Sofia,Bulgaria,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10115,"Interland Business Centre, 6 Koloman Str, Sofia, Sofia, 1618, Bulgaria",,,,
,,RightInsight Ltd.,,,,,,Moscow,Moscow,Russia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10127,"Petrovsko-Razumovsky proezd 29 building 2, Moscow, Moscow, 127287, Russia",,,,
,,Éducation Permanente,,,,,,Ottawa,ON,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10261,"371 Kinghorn Crescent, Ottawa, On, Ottawa, ON, K2K 3R6, Canada",,,,
,,Smartflight Travel and Tours / CAM Academic Services,,,,,,Legazpi City,Albay,Philippines,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10297,"Gf Jossam Building, Rizal Street, Binanuahan West, Legazpi City, Albay, 4500, Philippines",,,,
,,Wesley Immigration Consultants Pvt Ltd,,,,,,Secunderabad,Andhra Pradesh,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10333,"9 1 125/1 Sarojini Devi Road, Secunderabad, Andhra Pradesh, 500003, India",,,,
,,GBS Advantage Inc.,,,,,,P.O Box 470 Eastern Province,Dammam,Saudi Arabia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/13149,"P.O Box 470 Eastern Province, Dammam, Ash Sharqiyah, Saudi Arabia",,,,
,,Bang Bang Tang Education Consulting Service Corp.,,,,,,Burnaby,British Columbia,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/25021,"Unit 1618, 4500 Kingsway, Burnaby, British Columbia, V5H2A9, Canada",,,,
,,Mr Artur Grigoryan-Armenia,,,,,,0049 Yerevan,.,Armenia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/26007,"Apt 33, Bld 30, Nor Nork 8, 0049 Yerevan, ., , Aragatsotn, Armenia",,,,
,,A Queen's English (AQE Ltd)-Brighton,,,,,,20 Bedford Pl,Brighton,United Kingdom,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/26091,"20 Bedford Pl, Brighton, Barking and Dagenham, United Kingdom",,,,
,,Sisi Kong,,,,,,-,Guangdong,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/26200,"ROOM 202, BLOCK A, ZHONGZHI BUILDING LONGTENG ROAD, SHIQI DISTRICT ZHONGSHAN CITY, - -, Guangdong, -, Guangdong, -, China",,,,
,,Delius-Terra,,,,,,-,Minsk,Belarus,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/26217,"4-117 Suhaya Str. 220004, -, Minsk, Brestskaya Voblasts', Belarus",,,,
,,Babel Studies SAS,,,,,,-,Amazonas,Colombia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/26372,"Cr 36 No 46 - 32, - -, Bucaramanga, -, Amazonas, -, Colombia",,,,
,,A&S Associates,,,,,,old Anarkali,Lahore,Pakistan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/26421,"7-Laj Road, old Anarkali, Lahore, Punjab, Pakistan",,,,
,,Asiana,,,,,,Prague,Hlavni mesto Praha,Czech Republic,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/23654,"8 Velflíkova, Prague 6, Prague, Hlavni mesto Praha, 160 00, Czech Republic",,,,
,,Turning Point Studies Consultants Pvt Ltd,,,,,,Karnal,Haryana,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/21224,"144 Prabhu Dayal Tower, Mugal Canal, Karnal, Haryana, 132001, India",,,,
,,Beijing Space Study Services Co Ltd,,,,,,Beijing,Beijing,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/22283,"Room 1207, Inter-China Commercial Building, No. 33 Denkshikou Avenue, Dongcheng District, Beijing, Beijing, 100006, China",,,,
,,E Visa Plus,,,,,,Sydney,New South Wales,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/31115,"Suite 46A, Level 4, 332-336 Pitt Street, Sydney, New South Wales, 2000, Australia",,,,
,,Shinyway International,,,,,,Shenyang,Shenyang,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/35201,"Room 2908, Zhuoyue Building, 10 Huigong Road Shenhe District, Shenyang, Shenyang, Liaoning, China",,,,
,,China Center for International Educational Exchange (CCIEE),,,,,,Beijing,Beijing,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/34715,"28F, No. 16 Building, Jianwai SOHO, 39 Dongsanhuan Middle Road, Chaoyang District, Beijing, Beijing, 100022, China",,,,
,,GOSTRALIA!-GOZEALAND! (BERLIN),,,,,,-,Berlin,Germany,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/32307,"-, 14 Gormannstraße, Berlin, -, Berlin, 10119, Germany",,,,
,,IEC,,,,,,Jeddah,Al Bahah,Saudi Arabia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/32334,"28 Al Madinah Road, Jeddah, Al Bahah, 30802, Saudi Arabia",,,,
,,"Beijing Space Study Service Co., Ltd.",,,,,,Shantou,Guangdong,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/32725,"Yuhuai Senior High School, 33 Haibin Road, Shantou, Guangdong, 515041, China",,,,
,,S7Study,,,,,,São Paulo,Sao Paulo,Brazil,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/33114,"558/105 Rua Frei Caneca, Consolacao, São Paulo, Sao Paulo, 01307-000, Brazil",,,,
,,Tandek | Exchange your mind,,,,,,Tirana,Tirana County,Albania,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/33553,"Rruga e Elbasanit Pallati 2G, Kati 2, Apt 1, Tirana, Tirana County, 1010, Albania",,,,
,,Information Planet Slovakia,,,,,,Bratislava,Bratislava,Slovakia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/28201,"Bratislava, Vysoka 35, Bratislava, Bratislava, 811 06, Slovakia",,,,
,,Education Zone,,,,,,Block 428,.,Bahrain,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/29833,"Flat 24, Bldg 2784, Road 2835, Block 428, ., , Al Hadd, Bahrain",,,,
,,Atkins First Ltd.,,,,,,Calgary,Alberta,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/29851,"200-638 11 Ave SW, Calgary, Alberta, T2R 0E2, Canada",,,,
,,Heilongjiang Education Centre for International Exchange,,,,,,Harbin,Heilongjiang,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/27208,"No. 73 Hongjun Street, Nangang District, Harbin, Heilongjiang, 150001, China",,,,
,,Orbit Immigration,,,,,,Ahmedabad,Gujarat,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/27392,"309 Kairos, Drive in Road, Ahmedabad, Gujarat, 380059, India",,,,
,,"Beijing Golden Arrow Education Information Consulting Co., Ltd.",,,,,,Xi'an Dalu,Changchun,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/27628,"Room 1509, Zhongyin Building, Xi'an Dalu, Changchun, Jilin, China",,,,
