first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,licence_number,licence_type
Amanbir,Singh Jaspal,1881 Migration TA 1881 Global Mobility,,,,,,Christchurch,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201601344,201601344,
Amanda,Christine Gaskin,Ernst & Young Limited,,,,,,Wellington,Wellington,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201900290,201900290,
Amandeep,Kaur Amandeep Kaur,A PLUS IMMIGRATION SERVICES LIMITED,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202400311,202400311,
Amandeep,Singh,Best Immigration Advice,,,,,,Napier,Hawke's Bay,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201901250,201901250,
Amandeep,Singh Kairon,Pegasus Migration Consultancy,,,,,,Pegasus,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202507400,202507400,
Amanpreet,Sadra,Rubiiz Immigration Services Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202507555,202507555,
Amarjit,Kaur,INSPIRE IMMIGRATION LIMITED,,,,,,Christchurch,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202504311,202504311,
Ambika,Raghuvirsingh KUSHWAHA,Avenues Overseas,,,,,,Ahmedabad,Gujarat,IN,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201000972,201000972,
Amirali,Jaferali Poonawala,G.E.M.S. International,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201500921,201500921,
Amish,Milkhi Fermah,Fermah Advocates Limited,,,,,,Whakatane,Bay of Plenty,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202300052,202300052,
Amisha,Badal,NZ Immigration Consulting Ltd,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201500909,201500909,
Amit,Bhardwaj,Expert Immigration Services Pvt Ltd,,,,,,Ambala Cantt,Haryana,IN,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201600534,201600534,
Amit,Kumar,ANZ Migration,,,,,,Stirling,Western Australia,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201000370,201000370,
Amita,Bansal,Mystic Immigration NZ Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202100470,202100470,
Amitabh,Tripathi,Into NZ Immigration Limited,,,,,,Hamilton,Waikato,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202100323,202100323,
Amrik,Singh Sadhar,Base Immigration consultants,,,,,,Lincoln,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201701230,201701230,
Amrinder,Singh,Expert Immigration Services Pvt Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202100814,202100814,
Amy,Brooke Heenan,Chile Force Limited,,,,,,Lumsden,Southland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201800754,201800754,
Amy,Whatarau Reynolds,Tahawai Immigration,,,,,,Katikati,Bay of Plenty,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202401285,202401285,
Ana,Seini Sesimani Tu'ipulotu Hifo,Eavama Immigration,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202503411,202503411,
Anahita,Shaikh,Immigration Advice NZ Ltd,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201201080,201201080,
Anastasiya,Florets'ka,New Zealand Shores,,,,,,Hamilton,Waikato,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202100317,202100317,
Andrea,Claire McLeod-Karim,Arahanga,,,,,,Mumbai,Maharashtra,IN,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202400558,202400558,
Andreas,Richard Lewis Smith,Visa 4 New Zealand Limited,,,,,,Ho Chi Minh City,Ho Chi Minh City,VN,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201900841,201900841,
Andrew,John Kerr,Network Migration Services Pty Limited,,,,,,Johannesburg,Gauteng,ZA,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/200903080,200903080,
Andrew,O'Dell,O'Dell Immigration Limited,,,,,,Christchurch,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201700420,201700420,
Andrey,Kutyaev,Working International Visas Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202000213,202000213,
Andriy,Kunyev,Migration Success,,,,,,Christchurch,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201300090,201300090,
Aneterea,Andrew Aiolupotea,Star Pacific Agency Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201100177,201100177,
Angela,Jin,I NZ Education & Tourism LTD,,,,,,Christchurch,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201900440,201900440,
Angela,Lorraine Burford,Easy Visa Ltd,,,,,,Wanaka,Otago,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201401160,201401160,
Anh,Thi Phuong Nguyen,WB Visas,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202200462,202200462,
Anil,Kumar Sadhineni,Skybound Migration & Education Services,,,,,,Seven Hills,New South Wales,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202400535,202400535,
Anil,Nanji,Anil Nanji,,,,,,Nadi,Nadi,FJ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201000305,201000305,
Anil,Uprety,Kangaroo Education & Visa Services Australia Pty Ltd,,,,,,Sydney,New South Wales,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202508135,202508135,
Anil,Vijay Malhotra,Aren Holdings Private Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201500246,201500246,
Anish,Rana,Millennials Immigration NZ,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202503999,202503999,
Anisha,Gupta,A Square Migration Services,,,,,,Wentworthville,New South Wales,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/200902725,200902725,
Anita,Lucia Alletson,,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201900781,201900781,
Anjana,Velayudhan Pillai,GET2NZ,,,,,,Rolleston,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202400972,202400972,
Anjana,Yogesh Manseta,Aotearoa Access Immigration Guide Limited ( AAIGL),,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202502206,202502206,
Anju,Bhatnagar,RAJNI GARG VISA,,,,,,New Delhi,Ne3w Delhi,IN,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201701081,201701081,
Anka,Hasan Sahin,True Blue Migration Services Pty Ltd,,,,,,Melbourne,Victoria,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/200800332,200800332,
Ankur,Garg,AVP Immigration Services Pvt. Ltd,,,,,,Bathinda,Punjab,IN,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201900172,201900172,
Ankur,Sabharwal,Visa Matters Ltd,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201700093,201700093,
Ann,Ivy Nolan,Woburn International Limited,,,,,,Lower Hutt,Wellington,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/200800645,200800645,
Ann,Jeanette van den Berg,PA Migration Pty Ltd,,,,,,Woy Woy,New South Wales,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202502724,202502724,
Ann,Rossette Cea Tecson,ART Immigration Services Limited,,,,,,Tarleton,Tasmania,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201700621,201700621,
Ann-Maree,Duxfield,University of Auckland,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/200800289,200800289,
Anna,Dobos,Smartlaw Pty Ltd T/A Migratiohotline/Courtpros,,,,,,Brisbane,Queensland,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201100817,201100817,
Anna,Patrizia O'Toole,AOT Migration Consulting Ltd.,,,,,,Woodend,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202200491,202200491,
Anna,Snezana Ivanovska,Hahn & Associates Ltd,,,,,,Lower hutt,Wellington,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202500094,202500094,
Anna-Lee,Sandra Tasker,Tasker Immigration Services,,,,,,Towai,Northland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202200605,202200605,
Anne,Grace Miras Apostol-Armada,Aroha New Zealand Immigration Services,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202300046,202300046,
Annette,Nortje,Changing Planet Migrations,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202200769,202200769,
Anosh,Joseph,Immigration Visa Network,,,,,,Christchurch,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202300098,202300098,
Anthony,Chung Pak Tse,A & P Investments Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/200800013,200800013,
Anthony,Edward Callaghan,Pathways to New Zealand Limited,,,,,,Hamilton,Waikato,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/200800906,200800906,
Anthony,Perich,Immigration Pty Ltd T/A This is Australia,,,,,,,,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201200560,201200560,
Antonietta,Jang,Trinity New Zealand Immigration Services,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201601367,201601367,
Antonio,Francisco Xavier Franco de Freitas Ornelas,NZIERIS,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202400570,202400570,
Antonio,Ricardo Azevedo Franco,MigratuNZ,,,,,,SP,13289050,BR,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201701129,201701129,
Antony,Amhurst Wallace,I-Migration Pty Ltd,,,,,,Melbourne,Victoria,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202505495,202505495,
Anupam,Kaloti,Migrants United Immigration,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202000791,202000791,
Anuradha,Grover,AIC Immigration Consultancy,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201300470,201300470,
Anurag,Dhiman,EZY Immigration Limited,,,,,,Hamilton,Waikato,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201300919,201300919,
Aparna,Prakash,Kiwi Fern Immigration Services Ltd.,,,,,,Wellington,Wellington,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201400870,201400870,
Appley,Boyd,Star Immigration Ltd,,,,,,Cairns,Queensland,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201400745,201400745,
Aquinos,Joseph,Immigration and Visa Network Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202500065,202500065,
Aravindar,Bakthavatchalam,SENTHIL & MUKUSHA LIMITED,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202200500,202200500,
Archana,Naidu-Devar,Namaste NZ Immigration Services,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202500634,202500634,
Ariadne,Cabral Chapman,Central Otago Immigration Limited,,,,,,Alexandra,Otago,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202400825,202400825,
Arlana,Lara Delamere,TDA Immigration and Student Services Limited,,,,,,Auckland CBD,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201201068,201201068,
Arno,Nothnagel,Noth & Co. Immigration,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201001724,201001724,
Arun,Jacob,AJV Services Ltd,,,,,,Hamilton,Waikato,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201500460,201500460,
Arunima,Dhingra,Aims Global Education and Immigration Services Ltd,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/200900407,200900407,
Arvind,Chandrakant Pednekar,Visa Express Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201400231,201400231,
Asha,Lakshmi,Asha Lakshmi Pillay,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201400277,201400277,
Asha,Parekh,Destination New Zealand Immigration Limited,,,,,,Hamilton,Waikato,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201200413,201200413,
Ashar,Joseph,Ashar Joseph,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201400225,201400225,
Ashish,Barua,Ash Immigration Advisers NZ,,,,,,Lower Hutt,Wellington,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202400914,202400914,
Ashish,Sharma,AE Mirgation,,,,,,Manukau,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201900545,201900545,
Ashish,Thapa,SKILLAGE,,,,,,Greenacres,South Australia,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202503676,202503676,
Ashley,Peter George,Direct Selection T/A A.George Immigration,,,,,,Rotorua,Bay of Plenty,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/200900726,200900726,
Ashwini,Rupa Devi Chandra,International Immigration Consultants Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/200901230,200901230,
Asif,Chaudhary,NEXCO CONSULTANTS PTY LTD,,,,,,Harris Park,New South Wales,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202503574,202503574,
Asli,Doker,Doker Immigration Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202100694,202100694,
Asma,Sultana,Migration Avenue Pty Ltd,,,,,,Brisbane,Queensland,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202001112,202001112,
Asoka,Sirithilaka Weerasundara,Pro X New Zealand Ltd,,,,,,Paraparaumu,Wellington,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201301161,201301161,
Atesh,Narayan,Auckland South Immigration Consultants Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/200902665,200902665,
Athira,Ganesh,Nesta Immigration Services Ltd.,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202400736,202400736,
Audrey,Anais Avry,Abeona,,,,,,Kaikoura,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202401049,202401049,
Aurora,Helena Beaumont Christensen,ImmigrateMe Ltd,,,,,,Roxburgh,Otago,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201700041,201700041,
Avleen,Kaur Ahuja,Kiwiana Immigration Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202200657,202200657,
Awalpreet,Kaur Takkar,Sunrise Immigration Consultants Pvt. Ltd.,,,,,,Chandigarh,Punjab,IN,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201700986,201700986,
Azaat,Shatru Kapoor,Uniways Immigration Inc.,,,,,,Ontario,L5B 3J1,CA,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201700822,201700822,
Babita,Babita,Immigration Law Advice Pty Limited,,,,,,Melbourne,Victoria,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201700213,201700213,
Bachar,El-Khatib,Professional Immigration Solutions Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201500163,201500163,
Baillie,Louise Fryer,NZ Bound,,,,,,Tauranga,Bay of Plenty,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201801251,201801251,
Bakul,Gupta,Trusthaven Immigration Services Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202000680,202000680,
Baljeet,Kour,White Cloud Immigration and Education Services Ltd,,,,,,Jammu,Jammu Kashmir,IN,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202500517,202500517,
Baljinder,Kaur,Supreme Immigration Services Limited,,,,,,Pokeno,Waikato,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202400073,202400073,
Banafsheh,Ostad,Waikato Ethnic Family services Trust,,,,,,Hamilton,Waikato,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201900539,201900539,
Baninder,Kaur,NZ Immigration Linq PVT LTD.,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201401070,201401070,
Bao,Gia Vuong,Veritas Consulting Group Pty Ltd,,,,,,Melbourne,Victoria,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202505383,202505383,
Baozhu,Zhang,Julia Zhang,,,,,,Hamilton,Waikato,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201301066,201301066,
Basanta,Raj Pokharel,Expert Education and Visa Services Melbourne,,,,,,Melbourne,Victoria,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202501377,202501377,
