first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,rating,attorneys
,,"Resnick & Louis, P.C.",Immigration Law Firm,,,http://www.rlattorneys.com,rlattorneys.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/resnick-louis-p-c-300025419-f/,3.7,
,,Shouse Law Group,Immigration Law Firm,,,https://www.shouselaw.com/ca,shouselaw.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/shouse-law-group-3234096-f/,5.0,
,,Chudnovsky Law,Immigration Law Firm,,,https://TopLawyer.law/los-angeles-criminal-defense-lawyer,toplawyer.law,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/chudnovsky-law-300013863-f/,5.0,
,,The Agopoglu Law Firm,Immigration Law Firm,,,https://www.agopoglulawfirm.com/,agopoglulawfirm.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/the-agopoglu-law-firm-3396562-f/,,
,,"Finnegan & Diba, ALC",Immigration Law Firm,,,http://fdlegal.com,fdlegal.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/finnegan-diba-alc-300051995-f/,,
,,"Law Offices of David M. Haghighi, APC",Immigration Law Firm,,,http://www.haghighi-law.com,haghighi-law.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-david-m-haghighi-apc-158450775-f/,,
,,Rod Armande Law,Immigration Law Firm,,,https://www.rodarmandelaw.com,rodarmandelaw.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/rod-armande-law-300041009-f/,,
,,Leech Tishman (Westwood),Immigration Law Firm,,,https://www.leechtishman.com,leechtishman.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/leech-tishman-westwood-300005561-f/,2.6,
,,Darren Silver & Associates,Immigration Law Firm,,,http://www.darrensilver.com,darrensilver.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/darren-silver-and-associates-2100604-f/,,
,,"Alvandi Law Group, P.C.",Immigration Law Firm,,,https://www.alvandigroup.com/,alvandigroup.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/alvandi-law-group-p-c-300057095-f/,,
,,Howard & Howard Attorneys LLP,Immigration Law Firm,,,https://howardandhoward.com/,howardandhoward.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/howard-and-howard-attorneys-llp-160641201-f/,2.3,
,,"Greenberg Traurig, LLP",Immigration Law Firm,,,http://www.gtlaw.com,gtlaw.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/greenberg-traurig-llp-119758-f/,4.1,
,,"Law Offices of Fernando J. Bernheim, APC",Immigration Law Firm,,,http://www.bernheimlawyers.com,bernheimlawyers.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/upland/california/law-offices-of-fernando-j-bernheim-apc-34494833-f/,4.7,
,,Metaverse Justice Group,Immigration Law Firm,,,https://www.metaverselawgroup.com/,metaverselawgroup.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/burlingame/california/metaverse-justice-group-8065773-f/,,
,,"Law Office of Alma D. Puente, APLC",Immigration Law Firm,,,https://www.apuentelaw.com/,apuentelaw.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/el-monte/california/law-office-of-alma-d-puente-aplc-44988580-f/,5.0,
,,John J. Jamgotchian,Immigration Law Firm,,,http://www.jjj-law.com,jjj-law.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/woodland-hills/california/john-j-jamgotchian-286986-f/,,
,,Teraoka & Partners LLP,Immigration Law Firm,,,https://www.teraokalaw.com,teraokalaw.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/san-francisco/california/teraoka-partners-llp-240864-f/,,
,,Moaddel Law Firm,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/moaddel-law-firm-300008479-f/,,
,,"The Guiliano Law Group, P.C",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/the-guiliano-law-group-p-c-300034929-f/,5.0,
,,"Lewis, Brisbois, Bisgaard & Smith LLP",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/lewis-brisbois-bisgaard-and-smith-llp-88299-f/,3.6,
,,McGuireWoods LLP,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/mcguirewoods-llp-3908034-f/,4.4,
,,Proskauer Rose LLP,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/proskauer-rose-llp-144484-f/,4.6,
,,Law Offices of Nazanin Mazgani,Immigration Law Firm,,,https://mazganilaw.com,mazganilaw.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-nazanin-mazgani-300048599-f/,,
,,David G. Derrico,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/david-g-derrico-42821625-f/,,
,,Law Office of Kimberly S. Daniels,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-kimberly-s-daniels-158706741-f/,,
,,Law Offices of Gary Berzner,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-gary-berzner-2656560-f/,,
,,W Legal PC,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/w-legal-pc-46450599-f/,,
,,"Rodriguez Lopez, APC",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/rodriguez-lopez-apc-300035613-f/,,
,,Law Offices of Jennifer Suet Fong Lim,Immigration Law Firm,,,https://www.jenniferlim.com,jenniferlim.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-jennifer-suet-fong-lim-2227919-f/,3.3,
,,Law Offices of Yeshareem & Associates A Professional Corporation,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-yeshareem-and-associates-a-professional-corporation-2832518-f/,,
,,Law Offices of Fred E. Schulcz,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-fred-e-schulcz-46064627-f/,,
,,Irell & Manella LLP,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/irell-and-manella-llp-134173-f/,4.0,
,,"Mesereau & Yu., LLP Attorneys at Law",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/mesereau-and-yu-llp-attorneys-at-law-157617591-f/,,
,,Anthony V. Salerno & Associates,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/anthony-v-salerno-and-associates-5000619-f/,3.6,
,,American Immigration Law Office of Kaye A. Y. Evans,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/american-immigration-law-office-of-kaye-a-y-evans-4380740-f/,,
,,Law Office of Aron P. Hasson,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-aron-p-hasson-4233210-f/,,
,,Law Offices of Andrea F. Szew,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-andrea-f-szew-34246829-f/,,
,,"Marks & Acalin, LLP",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/marks-and-acalin-llp-143305-f/,4.4,
,,Law Office of Ramin Ghashghaei,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-ramin-ghashghaei-45574641-f/,,
,,Law Offices of Curtis F. Pierce,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-curtis-f-pierce-4137028-f/,,
,,Stuart I. Folinsky,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/stuart-i-folinsky-118569-f/,,
,,Stephen A. Talesnick,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/stephen-a-talesnick-42541560-f/,,
,,Dongell Lawrence Finney LLP,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/dongell-lawrence-finney-llp-137676-f/,,
,,Law Office of Luis Londono,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-luis-londono-46294977-f/,,
,,Law Offices of Garret A. Lungin A Professional Corporation,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-garret-a-lungin-a-professional-corporation-46465632-f/,,
,,"Kring & Chung Attorneys, LLP",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/kring-and-chung-attorneys-llp-157643475-f/,,
,,Law Office of David M. Whalen,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-david-m-whalen-42190578-f/,,
,,Law Offices of Pamela Hartman,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-pamela-hartman-43727971-f/,,
,,Law Offices of Cyrus Meshki,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-cyrus-meshki-4238378-f/,,
,,Clyde & Co U.S. LLP,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/clyde-and-co-u-s-llp-300012077-f/,,
,,David Eric Brockway,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/david-eric-brockway-42820736-f/,,
,,Gleckman & Sinder,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/gleckman-and-sinder-2013560-f/,5.0,
,,Mendez & Lopez,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/mendez-and-lopez-34412864-f/,,
,,The Law Offices of Eugene Yun,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/the-law-offices-of-eugene-yun-157613375-f/,,
,,Parvin Rezainia,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/parvin-rezainia-119240-f/,,
,,Law Office of Dionisios Marinos,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-dionisios-marinos-3626193-f/,,
,,Law Offices of Jeanie Lee Cha,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-jeanie-lee-cha-2749534-f/,,
,,Jack R. Willis,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/jack-r-willis-150032-f/,,
,,Avila & Romo LLP,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/avila-and-romo-llp-42600589-f/,,
,,Law Office of Chung E. Kang,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-chung-e-kang-45799652-f/,5.0,
,,Law Offices of Robert J. DuPont,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-robert-j-dupont-45802737-f/,,
,,Sabbir Ahmed,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/sabbir-ahmed-3504205-f/,,
,,Law Offices of Jong H. Cha,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-jong-h-cha-2718657-f/,,
,,Olympia Law Group,Immigration Law Firm,,,https://www.foreclosurehelplawyers.com,foreclosurehelplawyers.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/olympia-law-group-300004795-f/,3.6,
,,Baker & Hostetler LLP,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/baker-and-hostetler-llp-5107733-f/,4.5,
,,"Bohloul Law, APC",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/bohloul-law-apc-300052717-f/,,
,,Ralph Ehrenpreis A Professional Law Corporation,Immigration Law Firm,,,https://www.ralphehrenpreis.com,ralphehrenpreis.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/ralph-ehrenpreis-a-professional-law-corporation-130285-f/,4.4,
,,Katten Muchin Rosenman LLP,Immigration Law Firm,,,http://www.witkowlaw.com,witkowlaw.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/katten-muchin-rosenman-llp-124032-f/,3.9,
,,Ana Tubert Schvartz,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/ana-tubert-schvartz-42531677-f/,,
,,Tan & Sakiyama A Professional Corporation,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/tan-and-sakiyama-a-professional-corporation-148362-f/,,
,,"Howard | Nassiri, Attorney at Law",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/howard-nassiri-attorney-at-law-45720645-f/,4.1,
,,Law Offices of Amucha & Associates,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-amucha-and-associates-3916794-f/,,
,,Arnold S. Malter,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/arnold-s-malter-119146-f/,,
,,"Fong & Chun, LLP",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/fong-and-chun-llp-43135678-f/,,
,,Law Office of Luis Carlos Ayala,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-luis-carlos-ayala-42577556-f/,,
,,Ashouri Derakhshan,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/ashouri-derakhshan-45658584-f/,,
,,Pillsbury Winthrop Shaw Pittman LLP,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/pillsbury-winthrop-shaw-pittman-llp-150676-f/,4.8,
,,Mathew L. Millen,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/mathew-l-millen-4234095-f/,,
,,"Stutman, Treister & Glatt Professional Corporation",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/stutman-treister-and-glatt-professional-corporation-148178-f/,,
,,Jae Hong Kim,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/jae-hong-kim-3227197-f/,,
,,Law Office of Gregory John Olive,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-gregory-john-olive-2711245-f/,,
,,Victory Law Group,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/victory-law-group-300026961-f/,,
,,Law Office of Tim Everett,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-tim-everett-2758167-f/,,
,,"Gibson, Dunn & Crutcher LLP",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/gibson-dunn-and-crutcher-llp-131311-f/,4.7,
,,Law Offices of Kenneth Byrd,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-kenneth-byrd-4729155-f/,,
,,Law Offices of Merlyn N. Hernandez,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-merlyn-n-hernandez-42429595-f/,,
,,Law Offices of Ronzio & Associates,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-ronzio-and-associates-121978-f/,5.0,
,,Harvey Mechanic,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/harvey-mechanic-4144369-f/,,
,,Atisa Shirvani,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/atisa-shirvani-4134821-f/,,
,,Christine Chong,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/christine-chong-42696620-f/,,
,,Howard Kim,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/howard-kim-4828689-f/,,
,,Chilton Law Firm,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/chilton-law-firm-46021563-f/,,
,,Orantes Law Firm,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/orantes-law-firm-33472837-f/,,
,,Robert B. LeCorvec Attorney at Law,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/robert-b-lecorvec-attorney-at-law-42493570-f/,,
,,Law Office of Noemi G. Ramirez A Professional Law Corporation,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-noemi-g-ramirez-a-professional-law-corporation-2786251-f/,,
,,Law Office of Antonio M. Zaldana,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-antonio-m-zaldana-4921030-f/,,
,,Law Office of Jacqueline Tapia,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-jacqueline-tapia-42387580-f/,,
,,Human Rights Project,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/human-rights-project-3209783-f/,,
,,"Triminio Law, APLC",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/triminio-law-aplc-3357011-f/,,
,,Law Office of Adalila Zelada-Garcia,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-adalila-zelada-garcia-45695691-f/,,
,,Venable LLP,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/venable-llp-4933928-f/,4.3,
,,Law Offices of Sergio J. Siderman,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-sergio-j-siderman-158593921-f/,,
,,Ellis Steinberg,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/ellis-steinberg-4233981-f/,,
,,Lluis Law,Immigration Law Firm,,,https://www.lluislaw.com,lluislaw.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/lluis-law-46595612-f/,,
,,"Pacifica International Law Group, LLP",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/pacifica-international-law-group-llp-5104930-f/,,
,,Root Law Group,Immigration Law Firm,,,http://www.rootlaw.com,rootlaw.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/root-law-group-2762373-f/,4.3,
,,Silbiger & Honig,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/silbiger-and-honig-147179-f/,,
,,Chukwudobe George Okey Law Offices,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/chukwudobe-george-okey-law-offices-2912777-f/,,
,,Ord & Norman,Immigration Law Firm,,,https://www.ordandnorman.com,ordandnorman.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/ord-and-norman-143387-f/,5.0,
,,Anthony Allen Brock,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/anthony-allen-brock-2591668-f/,,
,,Troutman Pepper Locke,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/troutman-pepper-locke-160516915-f/,4.8,
,,Latham & Watkins LLP,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/latham-and-watkins-llp-136183-f/,4.7,
,,"The Law Offices of Wafa J. Hoballah, LL.M.",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/the-law-offices-of-wafa-j-hoballah-ll-m-42236561-f/,,
,,Anthony O. Egbase & Associates,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/anthony-o-egbase-and-associates-46159623-f/,,
,,Law Office ofAlma Rosa Nieto,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-office-of-alma-rosa-nieto-4261993-f/,,
,,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Immigration Law Firm,,,http://www.fragomen.com,fragomen.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/fragomen-del-rey-bernsen-and-loewy-llp-130805-f/,2.0,
,,L. Bishop Austin & Associates,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/l-bishop-austin-and-associates-2951988-f/,2.9,
,,"Law Offices ofConrad G. Badar, P.C.",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-conrad-g-badar-p-c-46189699-f/,,
,,Duane Morris LLP,Immigration Law Firm,,,http://www.duanemorris.com,duanemorris.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/duane-morris-llp-4081292-f/,4.3,
,,Thomas S. Chu,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/thomas-s-chu-4262650-f/,,
,,Littler Mendelson P.C.,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/littler-mendelson-p-c-157727677-f/,3.8,
,,John A. Joannes,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/john-a-joannes-133890-f/,,
,,Law Offices of Verna Polutan,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-verna-polutan-3630909-f/,,
,,The A.D.I.L.A. Law Group,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/the-a-d-i-l-a-law-group-2554460-f/,,
,,Pollie Okoronkwo,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/pollie-okoronkwo-2016614-f/,,
,,Downtown LA Law Group,Immigration Law Firm,,,https://downtownlalaw.com/,downtownlalaw.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/downtown-la-law-group-300032903-f/,1.0,
,,Law Offices of Jean Ann Enns,Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-jean-ann-enns-4500016-f/,5.0,
