first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,fax,street_address,zip,services,languages
,,Bay Area Legal Aid (Napa Office),Immigration Legal Services,,(707) 259-0579,http://www.BayLegal.org,baylegal.org,Napa,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.631370-Bay_Area_Legal_Aid_Napa_Office,,"1250 Main St, Suite 210, Box 18",94559,,
,,Bay Area Legal Aid (Oakland Office),Immigration Legal Services,,1-800- 551-5554,http://www.baylegal.org,baylegal.org,Oakland,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392606-Bay_Area_Legal_Aid_Oakland_Office,(510) 663-4710,"Central Support Office, 1735 Telegraph Ave",94612,,
,,Bay Area Legal Aid (Redwood City Office),Immigration Legal Services,,(650) 358-0745,http://www.BayLegal.org,baylegal.org,Redwood City,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.631383-Bay_Area_Legal_Aid_Redwood_City_Office,,"1048 El Camino Real, Suite A",94063,,
,,Bay Area Legal Aid (Richmond Office),Immigration Legal Services,,(510) 233-9954,http://www.BayLegal.org,baylegal.org,Richmond,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.631271-Bay_Area_Legal_Aid_Richmond_Office,,1025 Macdonald Ave,94801,,
,,Bay Area Legal Aid (San Francisco Office),Immigration Legal Services,,(415) 982-1300,https://baylegal.org/,baylegal.org,San Francisco,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.631374-Bay_Area_Legal_Aid_San_Francisco_Office,,"1800 Market Street, 3rd Floor",94102,,
,,Bay Area Legal Aid (San Jose Office),Immigration Legal Services,,(408) 283-3700,http://www.BayLegal.org,baylegal.org,San Jose,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.631010-Bay_Area_Legal_Aid_San_Jose_Office,,"4 North Second St., Suite 600",95113,,
,,Bet Tzedek Legal Services,Immigration Legal Services,,(323) 939-0506,https://bettzedek.org,bettzedek.org,Los Angeles,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.816728-Bet_Tzedek_Legal_Services,,"3250 Wilshire Blvd., 13th floor",90010,,
,,California Human Development Corporation (Santa Rosa Office),Immigration Legal Services,,(707) 523-1155,http://www.californiahumandevelopment.org,californiahumandevelopment.org,Santa Rosa,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392565-California_Human_Development_Corporation_Santa_Rosa_Office,,3510 Unocal Place #200,95403,,
,,California Rural Legal Assistance (Coachella Office),Immigration Legal Services,,(760) 398-7261,http://www.crla.org,crla.org,Coachella,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392683-California_Rural_Legal_Assistance_Coachella_Office,(760) 398-1050,1460 6th St,92236,,
,,California Rural Legal Assistance (Marysville Office),Immigration Legal Services,,(530) 742-5191,http://www.crla.org,crla.org,Marysville,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392686-California_Rural_Legal_Assistance_Marysville_Office,(530) 742-0421,511 D Street,95901,,
,,California Rural Legal Assistance (Modesto Office),Immigration Legal Services,,(209) 577-3811,http://www.crla.org,crla.org,Modesto,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392679-California_Rural_Legal_Assistance_Modesto_Office,(209) 577-1098,"1020 15th Street, Suite 20",95354,,
,,California Rural Legal Assistance (Santa Maria Office),Immigration Legal Services,,(805) 922-4564,http://www.crla.org,crla.org,Santa Maria,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392680-California_Rural_Legal_Assistance_Santa_Maria_Office,(805) 928-0693,2050 G S. Broadway,93454,,
,,California Rural Legal Assistance (Stockton Office),Immigration Legal Services,,(209) 946-0605,http://www.crla.org,crla.org,Stockton,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392682-California_Rural_Legal_Assistance_Stockton_Office,(209) 946-5730,145 E. Weber Ave,95202,,
,,California Rural Legal Assistance (Vista Office),Immigration Legal Services,,(760) 966-0511,http://www.crla.org,crla.org,Vista,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392684-California_Rural_Legal_Assistance_Vista_Office,(760) 966-0291,"640 Civic Center Drive, Suite 180",92084,,
,,California Rural Legal Assistance Foundation (Fresno Office),Immigration Legal Services,,(559) 486-6278,http://www.crlaf.org,crlaf.org,Fresno,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.515944-California_Rural_Legal_Assistance_Foundation_Fresno_Office,(559) 486-6278,"2377 West Shaw Avenue, Suite 204",93711,,
,,California Rural Legal Assistance Foundation (Sacramento Office),Immigration Legal Services,,(916) 446-7904,http://www.crlaf.org,crlaf.org,Sacramento,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392608-California_Rural_Legal_Assistance_Foundation_Sacramento_Office,(916) 446-3057,"2210 K Street, Suite 201",95816,,
,,"California Rural Legal Assistance, Inc. (Fresno Office)",Immigration Legal Services,,(559) 441-8721,http://www.crla.org,crla.org,Fresno,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392681-California_Rural_Legal_Assistance_Inc_Fresno_Office,(559) 441-0724,3747 E. Shields Ave.,93726,,
,,"California Rural Legal Assistance, Inc. (Salinas Office)",Immigration Legal Services,,(831) 757-5221,http://www.crla.org,crla.org,Salinas,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392689-California_Rural_Legal_Assistance_Inc_Salinas_Office,(831) 757-6212,3 Williams Rd,93905,,
,,Camino Immigration Services,Immigration Legal Services,,(657) 217-2365,https://www.caminoimmigrationservices.org/,caminoimmigrationservices.org,Placentia,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.810084-Camino_Immigration_Services,,849 N. Bradford Ave,92870,,
,,Canal Alliance,Immigration Legal Services,,(415) 306-0437,http://www.canalalliance.org,canalalliance.org,San Rafael,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392675-Canal_Alliance,(415) 454-3967,"711 Grand Ave, Suite 200",94901,,
,,Casa Cornelia Law Center,Immigration Legal Services,,(619) 231-7788,http://www.casacornelia.org,casacornelia.org,San Diego,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392658-Casa_Cornelia_Law_Center,(619) 231-7784,PO Box 12666,92112,,
,,Casa Familiar,Immigration Legal Services,,(619) 428-1115,http://www.casafamiliar.org,casafamiliar.org,San Diego,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.654170-Casa_Familiar,(619) 428-2802,119 West Hall Avenue,92173,,
,,Catholic Charities - Refugee & Immigrant Services (San Francisco Office),Immigration Legal Services,,(415) 972-1200,http://www.catholiccharitiessf.org,catholiccharitiessf.org,San Francisco,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392687-Catholic_Charities_Refugee_Immigrant_Services_San_Francisco_Office,(415) 972-1201,"990 Eddy Street, First Fl",94109,,
,,Catholic Charities - Refugee & Immigrant Services (San Mateo Office),Immigration Legal Services,,(650) 295-2160,http://catholiccharitiessf.org/learn-more-refugee-and-immigrant-services/,catholiccharitiessf.org,San Mateo,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.533851-Catholic_Charities_Refugee_Immigrant_Services_San_Mateo_Office,(650) 286-1321,36 37th Avenue,94403,,
,,Catholic Charities Diocese of San Diego Immigrant Services (Chula Vista Office),Immigration Legal Services,,619 498-0722,https://www.ccdsd.org/programs/immigrant-services/,ccdsd.org,Chula Vista,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.744282-Catholic_Charities_Diocese_of_San_Diego_Immigrant_Services_Chula_Vista_Offi,,293 H Street,91910,,
,,Catholic Charities Diocese of San Diego Immigrant Services (Imperial County Office),Immigration Legal Services,,(760) 370-3914,https://www.ccdsd.org/programs/immigrant-services/,ccdsd.org,El Centro,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.743095-Catholic_Charities_Diocese_of_San_Diego_Immigrant_Services_Imperial_County,,250 West Orange Ave.,92243,,
,,Catholic Charities Diocese of San Diego Immigrant Services (San Diego Office),Immigration Legal Services,,619-287-9454,https://www.ccdsd.org/programs/immigrant-services/,ccdsd.org,San Diego,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.744283-Catholic_Charities_Diocese_of_San_Diego_Immigrant_Services_San_Diego_Office,,4575 Mission Gorge Place,92120,,
,,Catholic Charities of Los Angeles - Esperanza Immigrant Rights Project,Immigration Legal Services,,(213) 251-3505,http://www.esperanza-la.org,esperanza-la.org,Los Angeles,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.450009-Catholic_Charities_of_Los_Angeles_Esperanza_Immigrant_Rights_Project,(213) 487-0986,1530 James Wood Blvd,90015,,
,,Catholic Charities of Los Angeles - Immigration & Refugee Resettlement (Los Angeles Office),Immigration Legal Services,,(213) 251-3411,http://www.catholiccharitiesla.org,catholiccharitiesla.org,Los Angeles,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392567-Catholic_Charities_of_Los_Angeles_Immigration_Refugee_Resettlement_Los_An,(213) 251-3593,1530 James M. Wood Blvd,90015,,
,,Catholic Charities of Los Angeles - St. Margaret Center (Inglewood Office),Immigration Legal Services,,(310) 672-2208,http://www.catholiccharitiesla.org,catholiccharitiesla.org,Lennox,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392566-Catholic_Charities_of_Los_Angeles_St_Margaret_Center_Inglewood_Office,,10217 Inglewood Ave,90304,,
,,Catholic Charities of Monterey - Support Services: Immigration & Citizenship (Salinas Office),Immigration Legal Services,,(831) 422-0602,https://catholiccharitiescentralcoast.org,catholiccharitiescentralcoast.org,Salinas,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392568-Catholic_Charities_of_Monterey_Support_Services_Immigration_Citizenship_S,(831) 422-0759,1705 2nd Ave,93905,,
,,Catholic Charities of Monterey - Support Services: Immigration & Citizenship (San Luis Obispo Office),Immigration Legal Services,,(805) 541-9110,https://catholiccharitiescentralcoast.org/,catholiccharitiescentralcoast.org,San Luis Obispo,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392569-Catholic_Charities_of_Monterey_Support_Services_Immigration_Citizenship_S,(805) 541-9121,"3220 South Higuera Street, Suite 303",93401,,
,,Catholic Charities of Monterey - Support Services: Immigration & Citizenship (Watsonville Office),Immigration Legal Services,,(831) 722-2675  4235,https://catholiccharitiescentralcoast.org/,catholiccharitiescentralcoast.org,Watsonville,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392570-Catholic_Charities_of_Monterey_Support_Services_Immigration_Citizenship_W,(831) 722-9921,656 Main Street,95076,,
,,"Catholic Charities of Orange County - Immigration, Citizenship Program",Immigration Legal Services,,(714) 347-9610,https://ccoc.org,ccoc.org,Santa Ana,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392571-Catholic_Charities_of_Orange_County_Immigration_Citizenship_Program,,1800 E. 17th Street,92705,,
,,"Catholic Charities of Sacramento, Inc. - Sacramento Food Bank & Family Services",Immigration Legal Services,,(916) 313-7604,https://www.sacramentofoodbank.org/immigration,sacramentofoodbank.org,Sacramento,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392662-Catholic_Charities_of_Sacramento_Inc_Sacramento_Food_Bank_Family_Services,,1951 Bell Avenue,95838,,
,,Catholic Charities of San Bernardino - Refugee & Immigration Services,Immigration Legal Services,,(909) 388-1239,http://www.ccsbriv.org,ccsbriv.org,San Bernardino,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392694-Catholic_Charities_of_San_Bernardino_Refugee_Immigration_Services,(909) 383-0448,"1450 N D St, Suite 3",92405,,
,,Catholic Charities of San Bernardino - Refugee & Immigration Services (San Bernardino Office),Immigration Legal Services,,(909) 388-1239,http://www.ccsbriv.org,ccsbriv.org,San Bernardino,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392695-Catholic_Charities_of_San_Bernardino_Refugee_Immigration_Services_San_Ber,(909) 384-1130,1450 N. D St,92405,,
,,Catholic Charities of Santa Clara County - Immigration Legal Services,Immigration Legal Services,,(408) 468-0100,https://www.ccscc.org,ccscc.org,San Jose,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392611-Catholic_Charities_of_Santa_Clara_County_Immigration_Legal_Services,(408) 944-0275,"2625 Zanker Road, Suite 201",95134,,
,,Catholic Charities of Stockton - Immigration Legal Services,Immigration Legal Services,,(209) 444-5910,http://ccstockton.org,ccstockton.org,Stockton,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392573-Catholic_Charities_of_Stockton_Immigration_Legal_Services,,6777 Embarcadero Dr.,95219,,
,,Catholic Charities of the Diocese of Santa Rosa - Immigration Program,Immigration Legal Services,,(707) 578-6000,http://www.srcharities.org,srcharities.org,Santa Rosa,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392572-Catholic_Charities_of_the_Diocese_of_Santa_Rosa_Immigration_Program,(707) 843-3538,987 Airway Ct,95403,,
,,Catholic Charities of the East Bay - Immigration Program (Concord Office),Immigration Legal Services,,(925) 825-3099,http://www.cceb.org,cceb.org,Concord,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392613-Catholic_Charities_of_the_East_Bay_Immigration_Program_Concord_Office,(925) 825-5503,3540 Chestnut Ave,94519,,
,,Catholic Charities of the East Bay - Immigration Program (Richmond Office),Immigration Legal Services,,(510) 234-5110,http://www.cceb.org,cceb.org,Richmond,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392615-Catholic_Charities_of_the_East_Bay_Immigration_Program_Richmond_Office,(510) 237-6778,217 Harbour Way,94801,,
,,Catholic Charities of the East Bay - Immigration Project (Oakland),Immigration Legal Services,,(510) 768-3100,http://www.cceb.org,cceb.org,Oakland,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392616-Catholic_Charities_of_the_East_Bay_Immigration_Project_Oakland,(510) 451-2242,433 Jefferson St,94607,,
,,"Catholic Charities of Yolo-Solano, Inc.",Immigration Legal Services,,(530) 214-4081,https://www.ccyoso.org/,ccyoso.org,Woodland,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392575-Catholic_Charities_of_YoloSolano_Inc,,620 Main Street,94695,,
,,"Catholic Charities, Diocese of San Diego - Immigration Services (El Centro Office)",Immigration Legal Services,,(760) 353-6822,http://www.ccdsd.org/immigration.php,ccdsd.org,El Centro,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392574-Catholic_Charities_Diocese_of_San_Diego_Immigration_Services_El_Centro_Off,(760) 353-0120,250 W. Orange St,92243,,
,,"Catholic Charities, Diocese of San Diego - Immigration Services (San Diego Office)",Immigration Legal Services,,(619) 287-1270,https://www.ccdsd.org/programs/immigrant-services/,ccdsd.org,San Diego,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392617-Catholic_Charities_Diocese_of_San_Diego_Immigration_Services_San_Diego_Off,(619) 287-6328,"4575 Mission Gorge Pl, Suite B",92120,,
,,Center for Employment Training,Immigration Legal Services,,(408) 534-5451,http://www.cet-icp.org,cet-icp.org,San Jose,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392696-Center_for_Employment_Training,(408) 294-5749,"701 Vine Street, Suite #102",95110,,
,,Center for Immigrant Assistance,Immigration Legal Services,,213-388-9630,http://www.centerforimmigrantassistance.net,centerforimmigrantassistance.net,Los Angeles,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.810920-Center_for_Immigrant_Assistance,,"800 W. 6th St., Suite 1220",90017,,
,,Central American Resource Center (CARECEN) of California,Immigration Legal Services,,(213) 385-7800  136,http://www.carecen-la.org/legal_services,carecen-la.org,Los Angeles,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392673-Central_American_Resource_Center_CARECEN_of_California,(213) 385-1094,2845 W. 7th St,90005,,
,,Central American Resource Center (San Fernando Valley Office),Immigration Legal Services,,(213) 385-7800 122,http://www.carecen-la.org/legal_services,carecen-la.org,Van Nuys,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.670317-Central_American_Resource_Center_San_Fernando_Valley_Office,(213) 385-1094,"16501 Sherman Way, Suite 220",91406,,
,,Central American Resource Center (San Francisco Office),Immigration Legal Services,,(415) 642-4400,http://www.carecensf.org,carecensf.org,San Francisco,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392672-Central_American_Resource_Center_San_Francisco_Office,(415) 824-2806,"3101 Mission St, Suite 101",94110,,
,,Central California Legal Services,Immigration Legal Services,,(559) 570-1200,http://www.centralcallegal.org,centralcallegal.org,Fresno,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392619-Central_California_Legal_Services,(559) 570-1254,"2115 Kern St, Suite 200",93721,,
,,Centro CHA Inc,Immigration Legal Services,,562-612-1407,https://centrocha.org/,centrocha.org,Long Beach,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.821575-Centro_CHA_Inc,,200 Pine Ave Suite #550,90802,,
,,Centro de Ayuda Legal para Inmigrantes (CALI),Immigration Legal Services,,(650) 938-4041,http://www.cali-immigration.org,cali-immigration.org,Santa Clara,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.450792-Centro_de_Ayuda_Legal_para_Inmigrantes_CALI,(408) 404-0409,1125 Benton St.,95050,,
,,"Centro del Inmigrante, Inc. CDI",Immigration Legal Services,,9517774427,https://centroinmigrante.com/,centroinmigrante.com,Riverside,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.811207-Centro_del_Inmigrante_Inc_CDI,,11801 Pierce Street Suite #271,92505,,
,,"Centro La Familia Advocacy Services, Inc",Immigration Legal Services,,(559) 237-2961,http://www.centrolafamilia.org/,centrolafamilia.org,Fresno,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.736682-Centro_La_Familia_Advocacy_Services_Inc,(559) 237-2968,"302 Fresno St, Suite 102",93706,,
,,Centro Legal de La Raza,Immigration Legal Services,,(510) 437-1554,http://www.centrolegal.org,centrolegal.org,Oakland,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392676-Centro_Legal_de_La_Raza,(510) 437-9164,3400 E. 12th Street,94601,,
,,Church World Service (NorCal Office),Immigration Legal Services,,(925) 418-1820,https://cwsnorcal.org/,cwsnorcal.org,Walnut Creek,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.807700-Church_World_Service_NorCal_Office,,"801 Ygnacio Valley Road, Suite 240",94596,,
,,Coalition for Humane Immigrant Rights of Los Angeles,Immigration Legal Services,,(213) 353-1333,http://www.chirla.org,chirla.org,Los Angeles,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393751-Coalition_for_Humane_Immigrant_Rights_of_Los_Angeles,(213) 353-1344,"2533 W. 3rd St, Suite 101",90057,,
,,Coalition to Abolish Slavery & Trafficking,Immigration Legal Services,,(213) 365-1906,http://www.castla.org,castla.org,Los Angeles,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392663-Coalition_to_Abolish_Slavery_Trafficking,(213) 341- 4439,"3580 Wilshire Blvd.,, Nbr. 900-37",90010,,
,,Coastside Hope,Immigration Legal Services,,(650) 726-9071,http://www.coastsidehope.org,coastsidehope.org,El Granada,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392577-Coastside_Hope,(650) 726-7696,"99 Avenue Alhambra, #1089",94018,,
,,Community Lawyers Inc.,Immigration Legal Services,,(310) 635-8181,http://community-lawyers.org,community-lawyers.org,Compton,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.481500-Community_Lawyers_Inc,(310) 638-4644,1216 E. Compton Blvd,90706,,
,,Community Legal Services in East Palo Alto,Immigration Legal Services,,(650) 326-6440,http://www.clsepa.org,clsepa.org,East Palo Alto,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392697-Community_Legal_Services_in_East_Palo_Alto,(866) 688-5204,1861 Bay Road,94303,,
,,Council for the Spanish Speaking (Stockton Office),Immigration Legal Services,,(209) 337-7505,http://www.elconcilio.org,elconcilio.org,Stockton,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392666-Council_for_the_Spanish_Speaking_Stockton_Office,(209) 644-2620,224 S. Sutter St.,95203,,
,,Council on American-Islamic Relations - Immigrants' Rights Center,Immigration Legal Services,,(714) 776-1177,https://ca.cair.com/losangeles,ca.cair.com,Anaheim,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.564408-Council_on_AmericanIslamic_Relations_Immigrants_Rights_Center,(714) 399-4585,"2180 West Crescent Ave., Suite F",92801,,
